incidi,latitude,longitude,W_OL,W_OM,W_OH,zipcode
2,40.6871742,-73.9312634,3,3,2,11221.0
10,40.8230751,-73.919048,3,3,3,10451.0
2,40.6871742,-73.9312634,3,3,3,11221.0
2,40.6871742,-73.9312634,3,3,4,11221.0
8,40.6619964,-73.9112273,3,3,4,11212.0
10,40.8230751,-73.919048,3,3,5,10451.0
2,40.6871742,-73.9312634,3,3,5,11221.0
10,40.8230751,-73.919048,3,4,1,10451.0
2,40.6871742,-73.9312634,3,4,1,11221.0
10,40.8230751,-73.919048,3,4,2,10451.0
2,40.6871742,-73.9312634,3,4,2,11221.0
10,40.8230751,-73.919048,3,4,3,10451.0
2,40.6871742,-73.9312634,3,4,3,11221.0
10,40.8230751,-73.919048,3,4,4,10451.0
2,40.6871742,-73.9312634,3,4,4,11221.0
2,40.6871742,-73.9312634,3,4,5,11221.0
8,40.6619964,-73.9112273,3,4,5,11212.0
2,40.6871742,-73.9312634,3,5,1,11221.0
8,40.6619964,-73.9112273,3,5,1,11212.0
10,40.8230751,-73.919048,3,5,2,10451.0
2,40.6871742,-73.9312634,3,5,2,11221.0
10,40.8230751,-73.919048,3,5,3,10451.0
2,40.6871742,-73.9312634,3,5,3,11221.0
10,40.8230751,-73.919048,3,5,4,10451.0
2,40.6871742,-73.9312634,3,5,4,11221.0
10,40.8230751,-73.919048,3,5,5,10451.0
2,40.6871742,-73.9312634,3,5,5,11221.0
2,40.6871742,-73.9312634,4,1,1,11221.0
8,40.6619964,-73.9112273,4,1,1,11212.0
2,40.6871742,-73.9312634,4,1,2,11221.0
8,40.6619964,-73.9112273,4,1,2,11212.0
8,40.6619964,-73.9112273,4,1,3,11212.0
2,40.6871742,-73.9312634,4,1,3,11221.0
10,40.8230751,-73.919048,4,1,4,10451.0
2,40.6871742,-73.9312634,4,1,4,11221.0
10,40.8230751,-73.919048,4,1,5,10451.0
2,40.6871742,-73.9312634,4,1,5,11221.0
8,40.6619964,-73.9112273,4,2,1,11212.0
2,40.6871742,-73.9312634,4,2,1,11221.0
8,40.6619964,-73.9112273,4,2,2,11212.0
2,40.6871742,-73.9312634,4,2,2,11221.0
8,40.6619964,-73.9112273,4,2,3,11212.0
2,40.6871742,-73.9312634,4,2,3,11221.0
8,40.6619964,-73.9112273,4,2,4,11212.0
2,40.6871742,-73.9312634,4,2,4,11221.0
2,40.6871742,-73.9312634,4,2,5,11221.0
8,40.6619964,-73.9112273,4,2,5,11212.0
8,40.6619964,-73.9112273,4,3,1,11212.0
2,40.6871742,-73.9312634,4,3,1,11221.0
8,40.6619964,-73.9112273,4,3,2,11212.0
2,40.6871742,-73.9312634,4,3,2,11221.0
2,40.6871742,-73.9312634,4,3,3,11221.0
8,40.6619964,-73.9112273,4,3,3,11212.0
10,40.8230751,-73.919048,4,3,4,10451.0
2,40.6871742,-73.9312634,4,3,4,11221.0
10,40.8230751,-73.919048,4,3,5,10451.0
2,40.6871742,-73.9312634,4,3,5,11221.0
10,40.8230751,-73.919048,4,4,1,10451.0
2,40.6871742,-73.9312634,4,4,1,11221.0
2,40.6871742,-73.9312634,4,4,2,11221.0
8,40.6619964,-73.9112273,4,4,2,11212.0
8,40.6619964,-73.9112273,4,4,3,11212.0
2,40.6871742,-73.9312634,4,4,3,11221.0
10,40.8230751,-73.919048,4,4,4,10451.0
2,40.6871742,-73.9312634,4,4,4,11221.0
10,40.8230751,-73.919048,4,4,5,10451.0
2,40.6871742,-73.9312634,4,4,5,11221.0
10,40.8230751,-73.919048,4,5,1,10451.0
2,40.6871742,-73.9312634,4,5,1,11221.0
2,40.6871742,-73.9312634,4,5,2,11221.0
8,40.6619964,-73.9112273,4,5,2,11212.0
10,40.8230751,-73.919048,4,5,3,10451.0
2,40.6871742,-73.9312634,4,5,3,11221.0
10,40.8230751,-73.919048,4,5,4,10451.0
2,40.6871742,-73.9312634,4,5,4,11221.0
10,40.8230751,-73.919048,4,5,5,10451.0
2,40.6871742,-73.9312634,4,5,5,11221.0
10,40.8230751,-73.919048,5,1,1,10451.0
2,40.6871742,-73.9312634,5,1,1,11221.0
10,40.8230751,-73.919048,5,1,2,10451.0
2,40.6871742,-73.9312634,5,1,2,11221.0
2,40.6871742,-73.9312634,5,1,3,11221.0
8,40.6619964,-73.9112273,5,1,3,11212.0
10,40.8230751,-73.919048,5,1,4,10451.0
2,40.6871742,-73.9312634,5,1,4,11221.0
8,40.6619964,-73.9112273,5,1,5,11212.0
2,40.6871742,-73.9312634,5,1,5,11221.0
10,40.8230751,-73.919048,5,2,1,10451.0
2,40.6871742,-73.9312634,5,2,1,11221.0
10,40.8230751,-73.919048,5,2,2,10451.0
2,40.6871742,-73.9312634,5,2,2,11221.0
10,40.8230751,-73.919048,5,2,3,10451.0
2,40.6871742,-73.9312634,5,2,3,11221.0
10,40.8230751,-73.919048,5,2,4,10451.0
2,40.6871742,-73.9312634,5,2,4,11221.0
8,40.6619964,-73.9112273,5,2,5,11212.0
2,40.6871742,-73.9312634,5,2,5,11221.0
10,40.8230751,-73.919048,5,3,1,10451.0
2,40.6871742,-73.9312634,5,3,1,11221.0
10,40.8230751,-73.919048,5,3,2,10451.0
2,40.6871742,-73.9312634,5,3,2,11221.0
10,40.8230751,-73.919048,5,3,3,10451.0
2,40.6871742,-73.9312634,5,3,3,11221.0
8,40.6619964,-73.9112273,5,3,4,11212.0
2,40.6871742,-73.9312634,5,3,4,11221.0
2,40.6871742,-73.9312634,5,3,5,11221.0
8,40.6619964,-73.9112273,5,3,5,11212.0
10,40.8230751,-73.919048,5,4,1,10451.0
2,40.6871742,-73.9312634,5,4,1,11221.0
10,40.8230751,-73.919048,5,4,2,10451.0
2,40.6871742,-73.9312634,5,4,2,11221.0
8,40.6619964,-73.9112273,5,4,3,11212.0
2,40.6871742,-73.9312634,5,4,3,11221.0
10,40.8230751,-73.919048,5,4,4,10451.0
2,40.6871742,-73.9312634,5,4,4,11221.0
2,40.6871742,-73.9312634,5,4,5,11221.0
8,40.6619964,-73.9112273,5,4,5,11212.0
10,40.8230751,-73.919048,5,5,1,10451.0
2,40.6871742,-73.9312634,5,5,1,11221.0
8,40.6619964,-73.9112273,5,5,2,11212.0
2,40.6871742,-73.9312634,5,5,2,11221.0
2,40.6871742,-73.9312634,5,5,3,11221.0
8,40.6619964,-73.9112273,5,5,3,11212.0
10,40.8230751,-73.919048,5,5,4,10451.0
2,40.6871742,-73.9312634,5,5,4,11221.0
10,40.8230751,-73.919048,5,5,5,10451.0
2,40.6871742,-73.9312634,5,5,5,11221.0
