MODZCTA,zip_area_m2,high_risk_coverage_area,high_risk_coverage_area_pct,high_risk_intersection_area,high_risk_intersection_area_pct,medium_risk_coverage_area,medium_risk_coverage_area_pct,low_risk_coverage_area,low_risk_coverage_area_pct
10001,2987591.9456450893,1032506.3631704267,34.55981880910731,149341.29538687813,4.998717967645074,2290178.4159071785,76.65633251038494,2891080.037934868,96.7695753146308
10002,3974361.0974952313,1893600.0182740262,47.64539436206321,203271.09185355913,5.114560224073928,3592438.453109435,90.39033859740384,3586713.8003161354,90.24629902342282
10003,2611530.8954178724,1889761.56424075,72.36221357964706,269648.0052631972,10.32528490228911,2572909.43138606,98.52111785851064,2580002.5381017313,98.79272508812896
10004,665306.5458726595,202787.79029012058,30.48035398842061,6957.848933222754,1.0458109838820817,575071.0511334202,86.43700482145707,611614.6257095303,91.92974719755637
10005,336760.9265401628,308898.63839532883,91.72638927232816,6914.479704963525,2.053230989711893,334176.52532906894,99.23257094056437,271124.08861910366,80.50936651249795
10006,438782.896925282,404124.3205084933,92.10120160570192,0.0,0.0,392706.39906768396,89.49902145674466,430476.13932840107,98.10686386021663
10007,819281.8430373897,584844.2711541863,71.38499115102393,114079.83675661372,13.924370193983103,806288.0045558385,98.41399652732714,703345.2157372709,85.84899344646799
10009,2738751.015246465,793452.6493637727,28.97133200304331,0.0,0.0,1930236.4311569452,70.4787116613169,2546454.1848337837,92.97866694189518
10010,1704250.0581421454,321130.61181377695,18.84292802453245,3375.675841920625,0.19807397545877461,1500688.5876859198,88.05565712122467,1633704.2803745144,95.86059701564365
10011,2811973.141440596,1321397.8128006007,46.9918362066445,74395.04701033165,2.6456528305323173,2213346.105655188,78.7114952499608,2744496.4028682094,97.60037755773807
10012,1456719.0678821285,1159125.4340256492,79.57096598665795,337248.2822841412,23.151223164426234,1453456.4218290946,99.77602777879626,1456719.0678821285,100.00000000000001
10013,2446176.0691543757,1344946.83234643,54.981603708165125,297089.63086520496,12.145063252454538,2239571.570806646,91.55398088661903,2401707.06232835,98.18210114199186
10014,2279141.3742189957,936834.8535302937,41.104727601697086,0.0,0.0,1808021.756993825,79.32907442450289,2181898.0233131764,95.73333396489535
10016,2404866.0350629548,1104456.2204447468,45.92589376463268,0.0,0.0,1752552.8386331282,72.87527924969216,1936545.709012563,80.52613662373373
10017,1642948.7507923378,730668.9086445963,44.47301891140669,0.0,0.0,1374313.7691520157,83.64921720712417,1303170.8278533127,79.31901875970496
10018,1405108.232201027,1101434.3681540696,78.38786670751558,160448.23943226592,11.418923877553,1325738.6842447435,94.35135698892353,1293090.0641164687,92.02779077672274
10019,3137418.1641018805,833459.0134079487,26.565123608460244,0.0,0.0,2404447.975999934,76.637791019108,3115580.8708926174,99.30397250009182
10021,1722932.3317379102,764586.4248865566,44.37704318400731,35040.718832589555,2.033783810722515,1422186.8697687371,82.54455752967309,1175192.5306290828,68.20886165875557
10022,1996721.7170985725,560611.8988975042,28.07661649076101,0.0,0.0,1297823.3191502397,64.99770639226087,1780192.4912919428,89.15576347207426
10023,2228076.231400775,1124360.1918793858,50.463273026009034,0.0,0.0,1696623.8811626073,76.147479033783,1831743.0581889667,82.21186655886382
10024,3852434.819599917,1100013.6485673883,28.55372511355369,156615.44479663207,4.065362611713101,2841181.4179203208,73.75027874489471,2613394.2277978268,67.83746773603383
10025,3399136.297764839,1426244.079785161,41.959014139062695,0.0,0.0,2026946.6017005858,59.63122464472635,2172824.1776203406,63.92283178080028
10026,1506978.215574096,353170.9422794162,23.43570322580096,0.0,0.0,1096530.2717663196,72.76351180355897,1464755.6536996437,97.19819693223852
10027,3945102.721517654,1158054.9727157778,29.354241307822825,0.0,0.0,2759728.0941042714,69.95326329659225,3253782.2308258936,82.47648947336373
10028,1420361.3597912972,514876.0570760701,36.249652493484064,0.0,0.0,889431.1037291794,62.620057747830394,978623.6022999946,68.89962160360304
10029,3666621.6539331656,1922467.634659954,52.431579151280395,0.0,0.0,2910427.454529714,79.37626865339962,2909148.4157929905,79.3413853505273
10030,1247532.40751672,873652.1940231349,70.03042075373307,0.0,0.0,1026418.7816825135,82.27592129054626,1122831.9816050625,90.00423354453129
10031,2934606.305662904,761972.8956927675,25.96508070681883,0.0,0.0,1847775.1698255846,62.96501054536469,2146829.748308062,73.15563059226476
10032,2956474.622049905,1249812.7921134427,42.27375343566693,31994.812657771017,1.082194733523099,2186153.736608789,73.94461363896284,2098559.6048504855,70.98182373016364
10033,2697135.7376830014,780649.1886895278,28.943637421828516,0.0,0.0,1624955.960050477,60.247466871890175,1920498.5791045637,71.2051140872274
10034,4891900.038259915,576058.8877045405,11.775769807214804,0.0,0.0,1917922.7043659273,39.20608944102927,2511905.9030707804,51.34826720548206
10035,6432148.733816242,860453.8624850198,13.377393746529648,0.0,0.0,1693247.988943828,26.32476422757114,3051286.821794638,47.43806382698938
10036,2042278.4380873633,1615166.233781426,79.08648515596448,120265.93883536827,5.888812053854902,1856222.1361093293,90.88976808900358,1989879.4023489486,97.43428541568076
10037,1165115.0205430463,304182.159414851,26.107479008645456,0.0,0.0,893998.7300935029,76.73051281038508,849904.9863505334,72.94601574653142
10038,1246326.5021102931,685104.1636306128,54.969878476513756,59538.0349597427,4.777081676345024,1227144.9998474352,98.46095688165343,1167456.700957835,93.67181865916235
10039,1965164.6675398194,420126.35088877875,21.378684332582317,0.0,0.0,1481842.2743957588,75.40550157818939,1625141.1257367886,82.69745291987644
10040,1724340.3920155356,207891.56177475833,12.056294843952442,0.0,0.0,639064.6659762923,37.061398604095025,1237176.4760925812,71.74781045675549
