MODZCTA,Month,Date,Year,Hour,Count,Latitude,Longitude
10001.0,4,14,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,4,14,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,4,14,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,4,14,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,4,14,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,4,15,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,4,15,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,4,16,2023,11,1,-73.99713787189704,40.75068819675726
10001.0,4,17,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,4,17,2024,9,1,-73.99713787189704,40.75068819675726
10001.0,4,20,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,4,21,2022,2,1,-73.99713787189704,40.75068819675726
10001.0,4,22,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,4,23,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,4,23,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,4,23,2023,2,1,-73.99713787189704,40.75068819675726
10001.0,4,23,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,4,25,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,4,28,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,4,29,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,4,30,2022,20,1,-73.99713787189704,40.75068819675726
10001.0,5,1,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,5,2,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,5,2,2024,2,1,-73.99713787189704,40.75068819675726
10001.0,5,4,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,5,5,2022,4,1,-73.99713787189704,40.75068819675726
10001.0,5,5,2022,17,1,-73.99713787189704,40.75068819675726
10001.0,5,5,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,5,6,2023,21,1,-73.99713787189704,40.75068819675726
10001.0,5,6,2023,23,1,-73.99713787189704,40.75068819675726
10001.0,5,6,2024,12,1,-73.99713787189704,40.75068819675726
10001.0,5,7,2022,2,1,-73.99713787189704,40.75068819675726
10001.0,5,7,2023,3,1,-73.99713787189704,40.75068819675726
10001.0,5,7,2023,9,1,-73.99713787189704,40.75068819675726
10001.0,5,7,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,5,7,2024,8,1,-73.99713787189704,40.75068819675726
10001.0,5,10,2022,9,1,-73.99713787189704,40.75068819675726
10001.0,5,10,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,5,11,2022,15,1,-73.99713787189704,40.75068819675726
10001.0,5,11,2024,22,1,-73.99713787189704,40.75068819675726
10001.0,5,12,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,5,12,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,5,13,2022,13,1,-73.99713787189704,40.75068819675726
10001.0,5,13,2023,22,1,-73.99713787189704,40.75068819675726
10001.0,5,14,2022,13,1,-73.99713787189704,40.75068819675726
10001.0,5,14,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,5,15,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,5,15,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,5,15,2024,10,1,-73.99713787189704,40.75068819675726
10001.0,5,15,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,5,16,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,5,17,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,5,17,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,5,17,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,5,23,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,5,24,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,5,24,2024,5,1,-73.99713787189704,40.75068819675726
10001.0,5,25,2023,5,1,-73.99713787189704,40.75068819675726
10001.0,5,25,2023,7,1,-73.99713787189704,40.75068819675726
10001.0,5,27,2024,9,1,-73.99713787189704,40.75068819675726
10001.0,5,28,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,5,28,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,6,2,2023,6,1,-73.99713787189704,40.75068819675726
10001.0,6,2,2024,5,1,-73.99713787189704,40.75068819675726
10001.0,6,3,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,6,4,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,6,5,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,6,5,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,6,6,2022,17,1,-73.99713787189704,40.75068819675726
10001.0,6,6,2024,22,1,-73.99713787189704,40.75068819675726
10001.0,6,9,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,6,9,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,6,11,2022,3,1,-73.99713787189704,40.75068819675726
10001.0,6,12,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,6,14,2023,15,1,-73.99713787189704,40.75068819675726
10001.0,6,14,2024,4,1,-73.99713787189704,40.75068819675726
10001.0,6,15,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,6,16,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,6,17,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,6,18,2023,11,1,-73.99713787189704,40.75068819675726
10001.0,6,18,2024,12,1,-73.99713787189704,40.75068819675726
10001.0,6,18,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,6,19,2023,14,1,-73.99713787189704,40.75068819675726
10001.0,6,19,2024,11,2,-73.99713787189704,40.75068819675726
10001.0,6,20,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,6,21,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,6,25,2022,5,1,-73.99713787189704,40.75068819675726
10001.0,6,26,2023,0,1,-73.99713787189704,40.75068819675726
10001.0,6,28,2024,2,1,-73.99713787189704,40.75068819675726
10001.0,6,30,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,7,1,2024,9,1,-73.99713787189704,40.75068819675726
10001.0,7,3,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,7,5,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,7,6,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,7,7,2024,21,1,-73.99713787189704,40.75068819675726
10001.0,7,9,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,7,10,2024,20,1,-73.99713787189704,40.75068819675726
10001.0,7,13,2023,15,1,-73.99713787189704,40.75068819675726
10001.0,7,13,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,7,13,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,7,14,2024,14,1,-73.99713787189704,40.75068819675726
10001.0,7,15,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,7,16,2022,2,1,-73.99713787189704,40.75068819675726
10001.0,7,16,2022,4,1,-73.99713787189704,40.75068819675726
10001.0,7,16,2022,20,1,-73.99713787189704,40.75068819675726
10001.0,7,17,2022,22,1,-73.99713787189704,40.75068819675726
10001.0,7,17,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,7,18,2023,23,1,-73.99713787189704,40.75068819675726
10001.0,7,19,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,7,19,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,7,20,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,7,22,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,7,23,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,7,24,2022,22,1,-73.99713787189704,40.75068819675726
10001.0,7,24,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,7,24,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,7,26,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,7,26,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,7,27,2024,8,1,-73.99713787189704,40.75068819675726
10001.0,7,29,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,7,30,2023,22,1,-73.99713787189704,40.75068819675726
10001.0,7,31,2023,9,1,-73.99713787189704,40.75068819675726
10001.0,8,2,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,8,3,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,8,4,2022,4,1,-73.99713787189704,40.75068819675726
10001.0,8,4,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,8,4,2023,15,1,-73.99713787189704,40.75068819675726
10001.0,8,9,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,8,10,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,8,13,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,8,13,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,8,14,2023,4,1,-73.99713787189704,40.75068819675726
10001.0,8,14,2023,9,1,-73.99713787189704,40.75068819675726
10001.0,8,16,2022,8,1,-73.99713787189704,40.75068819675726
10001.0,8,16,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,8,16,2022,20,1,-73.99713787189704,40.75068819675726
10001.0,8,19,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,8,20,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,8,20,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,8,22,2022,17,1,-73.99713787189704,40.75068819675726
10001.0,8,23,2023,11,1,-73.99713787189704,40.75068819675726
10001.0,8,23,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,8,25,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,8,26,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,8,26,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,8,26,2024,20,1,-73.99713787189704,40.75068819675726
10001.0,8,27,2024,21,1,-73.99713787189704,40.75068819675726
10001.0,8,28,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,8,28,2024,8,1,-73.99713787189704,40.75068819675726
10001.0,8,29,2024,0,1,-73.99713787189704,40.75068819675726
10001.0,8,30,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,8,31,2023,11,1,-73.99713787189704,40.75068819675726
10001.0,8,31,2023,21,1,-73.99713787189704,40.75068819675726
10001.0,9,1,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,9,1,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,9,1,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,9,3,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,9,4,2022,4,1,-73.99713787189704,40.75068819675726
10001.0,9,4,2022,9,1,-73.99713787189704,40.75068819675726
10001.0,9,6,2024,10,1,-73.99713787189704,40.75068819675726
10001.0,9,7,2023,3,1,-73.99713787189704,40.75068819675726
10001.0,9,9,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,9,10,2024,2,1,-73.99713787189704,40.75068819675726
10001.0,9,11,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,9,12,2022,5,1,-73.99713787189704,40.75068819675726
10001.0,9,12,2024,6,1,-73.99713787189704,40.75068819675726
10001.0,9,13,2023,9,1,-73.99713787189704,40.75068819675726
10001.0,9,15,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,9,16,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,9,16,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,9,19,2023,18,1,-73.99713787189704,40.75068819675726
10001.0,9,20,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,9,22,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,9,23,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,9,23,2022,15,1,-73.99713787189704,40.75068819675726
10001.0,9,24,2022,20,1,-73.99713787189704,40.75068819675726
10001.0,9,25,2022,4,1,-73.99713787189704,40.75068819675726
10001.0,9,26,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,9,28,2022,17,1,-73.99713787189704,40.75068819675726
10001.0,9,28,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,9,29,2023,0,1,-73.99713787189704,40.75068819675726
10001.0,9,29,2023,15,1,-73.99713787189704,40.75068819675726
10001.0,9,30,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,10,4,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,10,4,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,10,5,2024,1,1,-73.99713787189704,40.75068819675726
10001.0,10,5,2024,21,1,-73.99713787189704,40.75068819675726
10001.0,10,6,2023,18,1,-73.99713787189704,40.75068819675726
10001.0,10,9,2024,8,1,-73.99713787189704,40.75068819675726
10001.0,10,14,2022,0,1,-73.99713787189704,40.75068819675726
10001.0,10,16,2022,15,1,-73.99713787189704,40.75068819675726
10001.0,10,16,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,10,20,2023,2,1,-73.99713787189704,40.75068819675726
10001.0,10,23,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,10,25,2023,21,1,-73.99713787189704,40.75068819675726
10001.0,10,27,2022,6,1,-73.99713787189704,40.75068819675726
10001.0,10,27,2022,12,1,-73.99713787189704,40.75068819675726
10001.0,10,27,2023,14,1,-73.99713787189704,40.75068819675726
10001.0,10,27,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,10,30,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,10,30,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,10,31,2023,9,1,-73.99713787189704,40.75068819675726
10001.0,11,1,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,11,2,2024,0,1,-73.99713787189704,40.75068819675726
10001.0,11,2,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,11,4,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,11,4,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,11,4,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,11,5,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,11,5,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,11,6,2023,4,1,-73.99713787189704,40.75068819675726
10001.0,11,7,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,11,11,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,11,11,2023,22,1,-73.99713787189704,40.75068819675726
10001.0,11,11,2024,22,1,-73.99713787189704,40.75068819675726
10001.0,11,14,2022,17,1,-73.99713787189704,40.75068819675726
10001.0,11,15,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,11,15,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,11,17,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,11,17,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,11,17,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,11,18,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,11,19,2022,9,1,-73.99713787189704,40.75068819675726
10001.0,11,19,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,11,19,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,11,20,2022,5,1,-73.99713787189704,40.75068819675726
10001.0,11,21,2022,13,1,-73.99713787189704,40.75068819675726
10001.0,11,21,2024,14,1,-73.99713787189704,40.75068819675726
10001.0,11,23,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,11,24,2022,19,1,-73.99713787189704,40.75068819675726
10001.0,11,24,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,11,28,2023,21,1,-73.99713787189704,40.75068819675726
10001.0,11,28,2024,7,1,-73.99713787189704,40.75068819675726
10001.0,12,1,2022,16,1,-73.99713787189704,40.75068819675726
10001.0,12,3,2024,14,1,-73.99713787189704,40.75068819675726
10001.0,12,4,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,12,5,2022,8,1,-73.99713787189704,40.75068819675726
10001.0,12,7,2024,6,1,-73.99713787189704,40.75068819675726
10001.0,12,7,2024,9,1,-73.99713787189704,40.75068819675726
10001.0,12,10,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,12,12,2022,13,1,-73.99713787189704,40.75068819675726
10001.0,12,12,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,12,13,2022,9,1,-73.99713787189704,40.75068819675726
10001.0,12,14,2022,15,1,-73.99713787189704,40.75068819675726
10001.0,12,14,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,12,15,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,12,17,2022,11,1,-73.99713787189704,40.75068819675726
10001.0,12,18,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,12,18,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,12,20,2024,10,1,-73.99713787189704,40.75068819675726
10001.0,12,23,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,12,23,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,12,24,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,12,24,2023,16,1,-73.99713787189704,40.75068819675726
10001.0,12,24,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,12,25,2023,2,1,-73.99713787189704,40.75068819675726
10001.0,12,26,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,12,27,2022,5,1,-73.99713787189704,40.75068819675726
10001.0,12,27,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,12,28,2024,23,1,-73.99713787189704,40.75068819675726
10001.0,12,29,2022,16,1,-73.99713787189704,40.75068819675726
10001.0,12,29,2023,13,2,-73.99713787189704,40.75068819675726
10001.0,12,29,2024,3,1,-73.99713787189704,40.75068819675726
10001.0,12,31,2022,8,1,-73.99713787189704,40.75068819675726
10001.0,12,31,2023,2,1,-73.99713787189704,40.75068819675726
10002.0,1,1,2025,19,1,-73.98617431136368,40.71578031863019
10002.0,1,2,2023,15,1,-73.98617431136368,40.71578031863019
10002.0,1,2,2025,7,1,-73.98617431136368,40.71578031863019
10002.0,1,3,2023,2,1,-73.98617431136368,40.71578031863019
10002.0,1,3,2024,6,1,-73.98617431136368,40.71578031863019
10002.0,1,3,2024,18,1,-73.98617431136368,40.71578031863019
10002.0,1,3,2024,19,1,-73.98617431136368,40.71578031863019
10002.0,1,3,2025,17,1,-73.98617431136368,40.71578031863019
10002.0,1,4,2023,11,1,-73.98617431136368,40.71578031863019
10002.0,1,4,2024,9,1,-73.98617431136368,40.71578031863019
10002.0,1,4,2025,13,1,-73.98617431136368,40.71578031863019
10002.0,1,5,2025,9,1,-73.98617431136368,40.71578031863019
10002.0,1,9,2023,18,1,-73.98617431136368,40.71578031863019
10002.0,1,9,2023,20,1,-73.98617431136368,40.71578031863019
10002.0,1,9,2024,4,1,-73.98617431136368,40.71578031863019
10002.0,1,9,2024,11,1,-73.98617431136368,40.71578031863019
10002.0,1,11,2023,4,1,-73.98617431136368,40.71578031863019
10002.0,1,11,2023,19,1,-73.98617431136368,40.71578031863019
10002.0,1,11,2024,12,1,-73.98617431136368,40.71578031863019
10002.0,1,11,2025,18,1,-73.98617431136368,40.71578031863019
10002.0,1,12,2025,2,1,-73.98617431136368,40.71578031863019
10002.0,1,14,2023,11,1,-73.98617431136368,40.71578031863019
10002.0,1,14,2025,8,1,-73.98617431136368,40.71578031863019
10002.0,1,16,2024,21,1,-73.98617431136368,40.71578031863019
10002.0,1,17,2023,14,1,-73.98617431136368,40.71578031863019
10002.0,1,17,2024,12,1,-73.98617431136368,40.71578031863019
10002.0,1,20,2025,12,1,-73.98617431136368,40.71578031863019
10002.0,1,21,2024,10,1,-73.98617431136368,40.71578031863019
10002.0,1,22,2024,6,1,-73.98617431136368,40.71578031863019
10002.0,1,22,2024,13,1,-73.98617431136368,40.71578031863019
10002.0,1,22,2024,14,1,-73.98617431136368,40.71578031863019
10002.0,1,22,2025,11,1,-73.98617431136368,40.71578031863019
10002.0,1,23,2024,7,1,-73.98617431136368,40.71578031863019
10002.0,1,23,2025,15,1,-73.98617431136368,40.71578031863019
10002.0,1,26,2024,8,1,-73.98617431136368,40.71578031863019
10002.0,1,26,2024,19,1,-73.98617431136368,40.71578031863019
10002.0,1,26,2025,18,1,-73.98617431136368,40.71578031863019
10002.0,1,27,2024,13,1,-73.98617431136368,40.71578031863019
10002.0,1,27,2025,19,1,-73.98617431136368,40.71578031863019
10002.0,1,29,2025,14,2,-73.98617431136368,40.71578031863019
10002.0,1,29,2025,19,1,-73.98617431136368,40.71578031863019
10002.0,1,29,2025,21,1,-73.98617431136368,40.71578031863019
10002.0,1,30,2023,11,1,-73.98617431136368,40.71578031863019
10002.0,1,30,2023,12,1,-73.98617431136368,40.71578031863019
10002.0,1,30,2024,13,1,-73.98617431136368,40.71578031863019
10002.0,1,31,2024,19,1,-73.98617431136368,40.71578031863019
10002.0,2,1,2024,9,1,-73.98617431136368,40.71578031863019
10002.0,2,3,2024,15,1,-73.98617431136368,40.71578031863019
10002.0,2,3,2024,19,1,-73.98617431136368,40.71578031863019
10002.0,2,3,2024,23,1,-73.98617431136368,40.71578031863019
10002.0,2,4,2023,18,1,-73.98617431136368,40.71578031863019
10002.0,2,4,2023,23,1,-73.98617431136368,40.71578031863019
10002.0,2,6,2023,9,1,-73.98617431136368,40.71578031863019
10002.0,2,6,2024,20,1,-73.98617431136368,40.71578031863019
10002.0,2,8,2024,23,1,-73.98617431136368,40.71578031863019
10002.0,2,9,2024,17,1,-73.98617431136368,40.71578031863019
10002.0,2,11,2024,12,1,-73.98617431136368,40.71578031863019
10002.0,2,11,2024,17,1,-73.98617431136368,40.71578031863019
10002.0,2,13,2023,21,1,-73.98617431136368,40.71578031863019
10002.0,2,13,2024,23,1,-73.98617431136368,40.71578031863019
10002.0,2,14,2023,7,1,-73.98617431136368,40.71578031863019
10002.0,2,16,2024,7,1,-73.98617431136368,40.71578031863019
10002.0,2,16,2024,8,1,-73.98617431136368,40.71578031863019
10002.0,2,16,2024,12,1,-73.98617431136368,40.71578031863019
10002.0,2,17,2023,21,1,-73.98617431136368,40.71578031863019
10002.0,2,18,2024,12,1,-73.98617431136368,40.71578031863019
10002.0,2,19,2024,19,1,-73.98617431136368,40.71578031863019
10002.0,2,20,2024,21,1,-73.98617431136368,40.71578031863019
10002.0,2,22,2023,12,1,-73.98617431136368,40.71578031863019
10002.0,2,22,2024,18,1,-73.98617431136368,40.71578031863019
10002.0,2,23,2024,23,1,-73.98617431136368,40.71578031863019
10002.0,2,24,2024,9,1,-73.98617431136368,40.71578031863019
10002.0,2,25,2024,21,1,-73.98617431136368,40.71578031863019
