MODZCTA,high_mean_energy,high_max_energy,high_dominant_scale,med_mean_energy,med_max_energy,med_dominant_scale,low_mean_energy,low_max_energy,low_dominant_scale
10001,0.5702572968883687,1.3488229539913774,116,0.18539088518288357,0.4044897824587204,126,0.22315208023612768,0.42000996133568214,127
10002,0.3943137608012521,1.0879549503645847,127,0.25852900208030377,0.43772676476098066,125,0.32919360221976535,0.664647183113549,127
10003,0.6044357521982809,1.443768871041558,113,0.19676140331154554,0.44004040099149255,127,0.3156357522934645,0.6590932655721192,121
10004,4.460717397613417,9.956965732199885,127,0.5295880149101113,1.593131934827533,127,0.250678454464317,0.8327541149997356,127
10005,4.3190342521566,10.701448394228505,127,0.5116066973428365,1.7732373061260727,127,0.26770495682630835,0.7734852680781795,127
10006,3.8785342256603617,5.830032766223581,73,0.6916490718664163,2.4699675336445233,127,0.3684301670085417,1.0550404326233194,127
10007,2.6086894446097775,10.241805085006481,127,0.27235942146963305,0.7603454715680324,126,0.16102807066096594,0.4648081587596198,127
10009,0.5676564049337499,1.3002609020444,111,0.1856021186887583,0.37073843056992606,126,0.26208572535211866,0.5099947613319213,127
10010,1.0326492416975397,3.019580282951174,90,0.20405026393927872,0.6404843344819022,126,0.17171197786294853,0.33690130552752756,125
10011,0.698701822111863,2.6721898472908427,127,0.15923580382263097,0.37411910058717884,127,0.2664621658448804,0.528539301167309,126
10012,1.1030505647587274,3.2000948923201467,94,0.19569197083235562,0.5159877467596494,125,0.22740550312440203,0.4821596139549357,118
10013,1.0126979849979383,4.325585282752447,127,0.16951998974615115,0.41093434301387516,124,0.2811404254648383,0.6727300440089371,127
10014,1.210872495583794,3.4746610896637216,108,0.14128424149830768,0.3819235121020986,127,0.170730698685402,0.4032278650319308,127
10016,0.8850008527815455,3.774034890798831,127,0.1790688678452962,0.43037591414166826,127,0.22198837873446356,0.4252041890092142,124
10017,0.8300731943617586,2.746411152827509,127,0.1851991649910875,0.4243191734757319,126,0.20624915030798727,0.5074569772585765,126
10018,1.105991350446609,3.6763264819601402,122,0.15370271496850088,0.43913074394268237,127,0.19965545351051067,0.3810929490835122,121
10019,0.6303338602763643,1.489200930210991,109,0.18751519983647574,0.39757629386005733,127,0.2568571143841388,0.4383664408135586,126
10021,0.8325146923243372,2.5610226099509896,80,0.21139618300792207,0.6249313561517417,127,0.1609827415625393,0.3595931748208221,126
10022,1.1182681909850323,3.11441292782291,105,0.16701150606449766,0.4363334630371719,126,0.18394096518635486,0.38710038740165265,124
10023,1.2138244353929213,3.5256995806095763,110,0.1643613674006274,0.3689302659908494,126,0.17844689362593372,0.42122863783611136,126
10024,1.1497105438250472,3.228069554005602,100,0.217538538560505,0.44313664738730546,126,0.2337478920833417,0.4585565036454809,127
10025,0.5031404725638433,1.5280414093012888,127,0.19028077386460504,0.38633667906372554,127,0.2645375434636982,0.43041860750542116,121
10026,1.2664425359791263,3.630239475483927,110,0.14326561932598433,0.25399603871746723,126,0.1796762965997814,0.43701260001206316,127
10027,0.6072021104274844,1.7955008114195556,126,0.23399124385416673,0.4652737698925229,127,0.3060879971590729,0.5543737635562984,123
10028,1.0877166861794285,4.949692603491325,127,0.2017880156204249,0.5758094919341902,127,0.1854424726885374,0.4844332595591635,126
10029,0.5489271627224228,1.7062881504487233,127,0.3037209642819698,0.5910588108452773,127,0.3618347759835149,0.5804101019665601,126
10030,0.823551657578941,2.4331740256090346,76,0.158171580841209,0.33155025710857755,123,0.1921957194467479,0.371426900718964,127
10031,1.1325310781124773,3.596268000833971,119,0.14325660598783765,0.3228737332720376,127,0.20431132181372474,0.3747392511237411,124
10032,0.9524952380161744,4.101505192324822,127,0.16546551083165867,0.4097489096514669,127,0.22455794966550047,0.4520050108008484,127
10033,0.9903908291161615,2.932221997139331,85,0.15303165474827127,0.3690136739710979,127,0.15238121904121743,0.3305815234785192,124
10034,1.4838314310627354,6.914111164650836,127,0.16872961869921574,0.4881367287383261,127,0.1831255377523324,0.4101437648122116,126
10035,0.6508624125734093,1.7194366027433927,110,0.20390781178117579,0.3723663529911201,127,0.2531450668469252,0.5175040059947867,127
10036,0.5723789446317442,1.7130827713713477,126,0.15199971848649899,0.3032548462154875,126,0.2608417702116265,0.5446804513389321,125
